,Unnamed: 0,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G
125,125,潘祥偉,臺北達欣工程,F,1,0,188,80,6,1.5,0.5,0.3,0.5,0.4,0,0.9,8,45,0.25,0.4,0.4,0.3077,0.3,1,0.3,0.6,0.3,0.6,0.5,1.6,12,4,2,4,3,0,7,0.8,0.40625,0.402360515,0.211505922,0,1,0
126,126,張皓鈞,臺北達欣工程,F,1,0,164,50,5,1.6,0.4,0.2,0.4,0.1,0.1,0.5,17,86,0.75,0.5833,0.5,0.625,0.2,0.2,0.4,0.7,0.1,0.1,0.6,0.9,28,7,4,7,1,1,8,1.7,0.888888889,0.847457627,0.297619048,0,1,0
127,127,鐘嘉衡,臺北達欣工程,G,1,0,175,77,7,1.3,0.3,0.6,0.6,0.3,0.1,0.6,8,55,0.25,0.25,1,0.25,0.3,1,0.1,0.5,0.4,0.4,0.4,1.5,10,2,5,5,2,1,5,0.9,0.3,0.387828162,0.263620387,0,0,1
128,128,梅奧,臺北達欣工程,G,0,0,193,98,28,22.6,7.3,4.3,3,1.6,0.2,2.1,33,938,0.473,0.3677,0.8142,0.4334,5.3,11.2,2.5,6.8,4.5,5.5,7.8,18,745,242,143,98,52,6,70,21.8,0.502777778,0.55337904,0.128095645,0,0,1
129,129,麥克連,臺北達欣工程,C,0,0,211,112,30,17.8,13.6,0.6,1.7,0.3,2.6,1.9,36,1077,0.6059,0,0.593,0.6031,7.5,12.3,0,0.1,2.8,4.8,7.5,12.4,640,491,23,61,11,93,68,26.3,0.60483871,0.613285557,0.104860597,1,0,0
130,130,賀夫,台灣啤酒,F,0,0,203,100,33,20.4,10,2.9,2.8,1.4,3,3,53,1754,0.4906,0.3295,0.7191,0.4582,6.4,13,1.1,3.3,4.4,6.1,7.5,16.3,1080,528,153,149,76,161,159,24.4,0.493865031,0.537294564,0.128534704,0,1,0
131,131,奈維爾,裕隆納智捷,C,0,0,218,120,33,17.8,12.1,1.8,1.7,0.6,1.4,2.4,104,3471,0.532,0.3522,0.7418,0.4936,6,11.3,1.1,3.1,2.6,3.5,7.1,14.3,1852,1257,183,180,65,148,247,23.9,0.534965035,0.561868687,0.096921323,1,0,0
132,132,拉莫斯,金門酒廠,C,0,0,221,125,39,25.6,16.5,3,5.2,0.4,1.7,2.4,29,1133,0.57,0.3506,0.6081,0.5407,9.8,17.2,0.9,2.7,3.1,5.1,10.8,19.9,741,479,88,152,13,49,69,30.9,0.565326633,0.578034682,0.19016969,1,0,0
133,133,李恩,台灣啤酒,C,0,0,215,125,33,16.3,13.9,1.1,2.8,0.8,0.8,2.8,88,2879,0.5366,0,0.5821,0.5361,6.6,12.3,0,0,3.1,5.3,6.6,12.3,1431,1225,99,244,72,71,243,22.2,0.536585366,0.55699836,0.16062414,1,0,0
134,134,陳世念,裕隆納智捷,G,1,1,180,85,25,7.8,3,3.8,2.5,1.3,0.2,2.2,343,8678,0.4561,0.334,0.7585,0.4008,1.7,3.7,1,3.1,1.4,1.8,2.7,6.7,2675,1045,1299,846,436,56,754,9.2,0.47761194,0.520555259,0.25020016,0,0,1
